Year;Population, ages 0-14 (% of total);Population, ages 15-64 (% of total);Population ages 65 and above (% of total);Age dependency ratio (% of working-age population);Age dependency ratio, old (% of working-age population);Age dependency ratio, young (% of working-age population);Population growth (annual %);Population, total;Population, female (% of total)
1960;21.43779286;67.05092186;11.51128527;49.1403796;17.16797484;31.97240476;0.782668664;72814900;53.50455758
1961;21.63496049;66.63990373;11.72513577;50.06024179;17.59476713;32.46547465;0.769854344;73377632;53.4152312
1962;21.94641233;66.13331219;11.92027548;51.20972525;18.02461503;33.18511022;0.879431692;74025784;53.30291991
1963;22.31129539;65.58211425;12.10659036;52.48059909;18.46020221;34.02039688;0.925875063;74714353;53.17977029
1964;22.63610477;65.06351759;12.30037764;53.69596451;18.90518429;34.79078022;0.805140883;75318337;53.06236247
1965;22.8735247;64.61650977;12.50996552;54.75921119;19.36032385;35.39888734;0.853190437;75963695;52.96231697
1966;23.14464628;64.11375525;12.74159848;55.97276971;19.87342393;36.09934578;0.834560801;76600311;52.88267528
1967;23.31614369;63.71135954;12.97249677;56.95788229;20.36135707;36.59652522;0.457208527;76951336;52.81992231
1968;23.39947559;63.39984281;13.2006816;57.72909633;20.82131521;36.90778111;0.444717326;77294314;52.77076961
1969;23.40810959;63.16856379;13.42332661;58.30659168;21.25001069;37.05658099;0.792983738;77909682;52.72959725
1970;23.33494095;63.02317805;13.641881;58.67178107;21.64581505;37.02596602;0.332661393;78169289;52.69205933
1971;23.20694189;62.86664113;13.92641697;59.06687377;22.15231627;36.9145575;0.183475314;78312842;52.65800773
1972;22.93590235;62.86539215;14.19870551;59.07003472;22.58588637;36.48414836;0.478481046;78688452;52.62824049
1973;22.55808132;62.98657877;14.45533991;58.76398005;22.94987249;35.81410756;0.314942451;78936666;52.60041281
1974;22.13087879;63.18051489;14.68860632;58.27664542;23.24863263;35.02801279;0.038969223;78967433;52.5717812
1975;21.68741287;63.42130069;14.89128644;57.6757306;23.47994443;34.19578617;-0.372846359;78673554;52.54043524
1976;21.01658515;63.78336129;15.20005356;56.78069901;23.83074951;32.94994951;-0.428766875;78336950;52.50414184
1977;20.447917;64.08982103;15.46226197;56.03101743;24.12592428;31.90509315;-0.226376663;78159814;52.46305664
1978;19.90873008;64.43740376;15.65386616;55.18936964;24.29313625;30.89623339;-0.087031415;78091820;52.42052788
1979;19.30544884;64.96088367;15.73366749;53.93879365;24.22021767;29.71857598;0.044207406;78126350;52.38149939
1980;18.61643687;65.70622798;15.67733515;52.19257328;23.85973923;28.33283405;0.207430406;78288576;52.34894909
1981;18.10844106;66.34962709;15.54193185;50.71674733;23.42429325;27.29245408;0.152308489;78407907;52.32494284
1982;17.48987706;67.230949;15.27917394;48.74102012;22.72639901;26.01462111;-0.095113437;78333366;52.30670973
1983;16.84722436;68.1960975;14.95667814;46.63595771;21.93186884;24.70408887;-0.262152572;78128282;52.28657582
1984;16.31388934;69.01168356;14.6744271;44.9030011;21.26368532;23.63931578;-0.345666402;77858685;52.2539676
1985;15.95818946;69.54668395;14.49512659;43.7883081;20.84229787;22.94601023;-0.223489902;77684873;52.20166727
1986;15.76021267;69.7782223;14.46156503;43.3111879;20.72503991;22.58614799;0.045768064;77720436;52.12771413
1987;15.69672146;69.78299616;14.52028239;43.30138419;20.80776556;22.49361863;0.153617575;77839920;52.03573891
1988;15.74910331;69.61394828;14.63694841;43.6493736;21.02588523;22.62348837;0.39067896;78144619;51.9312081
1989;15.84331691;69.39314873;14.76353436;44.10644526;21.27520506;22.83124019;0.773336991;78751283;51.82210256
1990;15.92663473;69.20064464;14.87272063;44.50732286;21.4921698;23.01515306;0.861969449;79433029;51.71484895
1991;16.01747371;68.96561572;15.01691057;44.99979305;21.77448888;23.22530417;0.728605547;80013896;51.61066467
